School,Conference,AAC,Big10,Big12,CUSA,Ind,ACC,MAC,MWC ,Pac12,SEC,SunBelt,School(Shortened),Conference(Shortened),Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout,GSR,FGR,StadiumCapacity,Stadium,Win,Loss,Ratio
Syracuse University,Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,Syracuse,ACC,Dino Babers,2401206,2401206,,,0,,88,78,49250,Carrier Dome,5,7,41.70%
"University of Tennessee, Knoxville",Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,Tennessee,SEC,Jeremy Pruitt,3846000,3846000,1200000,,0,11780000,83,63,102455,Neyland Stadium,8,5,61.50%
University of Texas at Austin,Big 12 Conference,0,0,1,0,0,0,0,0,0,0,0,Texas,Big 12,Tom Herman,5500000,5500000,725000,75000,0,15416667,81,64,100119,Darrell K Royal–Texas Memorial Stadium,8,5,61.50%
"Texas A&M University, College Station",Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,Texas A&M,SEC,Jimbo Fisher,7500000,7500000,1350000,,0,68125000,73,55,102733,Kyle Field,8,5,61.50%
Texas Christian University,Big 12 Conference,0,0,1,0,0,0,0,0,0,0,0,Texas Christian,Big 12,Gary Patterson,4840717,4840717,,,0,,70,59,45000,Amon G. Carter Stadium,5,7,41.70%
Texas State University,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,1,Texas State,Sun Belt,Everett Withers,700000,700000,70833,0,0,773958,71,61,30000,Jim Wacker Field at Bobcat Stadium,3,9,25.00%
Texas Tech University,Big 12 Conference,0,0,1,0,0,0,0,0,0,0,0,Texas Tech,Big 12,Kliff Kingsbury,3703975,3703975,1500000,25000,0,4231250,73,52,60862,Jones AT&T Stadium,4,8,33.30%
University of Texas at El Paso,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Texas-El Paso,C-USA,Dana Dimel,700000,700000,741665,,0,2991667,83,63,51500,Sun Bowl Stadium,1,11,8.30%
University of Texas at San Antonio,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Texas-San Antonio,C-USA,Frank Wilson,1100000,1100000,185000,17500,0,3562500,83,61,65000,Alamodome,4,8,33.30%
University of Toledo,Mid-American Conference,0,0,0,0,0,0,1,0,0,0,0,Toledo,MAC,Jason Candle,1125000,1125000,585000,210000,0,3558333,86,75,26248,Glass Bowl,6,6,50.00%
Troy University,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,1,Troy,Sun Belt,Neal Brown,810000,810000,490000,100000,0,2911667,77,63,30402,Veterans Memorial Stadium at Larry Blakeney Field,5,7,41.70%
Tulane University,American Athletic Conference,1,0,0,0,0,0,0,0,0,0,0,Tulane,AAC,Willie Fritz,1629000,1629000,,,0,,88,74,30000,Benson Field at Yulman Stadium,7,6,53.80%
The University of Tulsa,American Athletic Conference,1,0,0,0,0,0,0,0,0,0,0,Tulsa,AAC,Philip Montgomery,1518177,1518177,,,0,,75,66,30000,Skelly Field at H.A. Chapman Stadium,4,8,33.30%
"University of California, Los Angeles",Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,UCLA,Pac-12,Chip Kelly,3300000,3300000,1085000,,0,9000000,79,61,90888,Rose Bowl Stadium,4,8,33.30%
